CD_CID,DS_CID,DT_EXCL,ID_ORIGEM
H055,CORPO ESTRANHO (ANTIGO) RETIDO CONSEQUENTE A FERIMENTO PERFURANTE DA ORBITA                         ,,
H058,OUTROS TRANSTORNOS DA ORBITA                                                                        ,,
H059,TRANSTORNO NAO ESPECIFICADO DA ORBITA                                                               ,,
H06,TRANSTORNOS DO APARELHO LACRIMAL E DA ORBITA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE E SUBTÍTULOS   ,,
H060,TRANSTORNOS DO APARELHO LACRIMAL EM DOENCAS CLASSIFICADAS EM OUTRA PARTE                            ,,
H061,INFESTACAO PARASITARIA DA ORBITA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE                            ,,
H062,EXOFTALMO DISTIREOIDEO                                                                              ,,
H063,OUTROS TRANSTORNOS DA ORBITA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE                                ,,
H10,CONJUNTIVITE E SUBTÍTULOS                                                                           ,,
H100,CONJUNTIVITE MUCOPURULENTA                                                                          ,,
H101,CONJUNTIVITE AGUDA ATOPICA                                                                          ,,
E668,OUTRA OBESIDADE                                                                                     ,,
E669,OBESIDADE NAO ESPECIFICADA                                                                          ,,
E67,OUTRAS FORMAS DE HIPERALIMENTACAO E SUBTÍTULOS                                                      ,,
E670,HIPERVITAMINOSE A                                                                                   ,,
E671,HIPERCAROTENEMIA                                                                                    ,,
E672,SINDROME DE MEGAVITAMINA B6                                                                         ,,
E673,HIPERVITAMINOSE D                                                                                   ,,
E678,OUTRAS FORMAS ESPECIFICADAS DE HIPERALIMENTACAO                                                     ,,
E68,SEQUELAS DE HIPERALIMENTACAO E SUBTÍTULOS                                                           ,,
E70,DISTURBIOS DO METABOLISMO DE AMINOACIDOS AROMATICOS E SUBTÍTULOS                                    ,,
E700,FENILCETONURIA CLASSICA                                                                             ,,
E701,OUTRAS HIPERFENILALANINEMIAS                                                                        ,,
E702,DISTURBIOS DO METABOLISMO DA TIROSINA                                                               ,,
E703,ALBINISMO                                                                                           ,,
E708,OUTROS DISTURBIOS DO METABOLISMO DE AMINOACIDOS AROMATICOS                                          ,,
E709,DISTURBIO NAO ESPECIFICADO DO METABOLISMO DE AMINOACIDOS AROMATICOS                                 ,,
E71,DISTURBIOS DO METABOLISMO DE AMINOACIDOS DE CADEIA RAMIFICADA E DO METABOLISMO DOS ACIDOS GRAXOS E S,,
E710,DOENCA DA URINA EM XAROPE DE ACER (OU BORDO) (MAPLE-SYRUP URINE DISEASE)                            ,,
E711,OUTROS DISTURBIOS DO METABOLISMO DE AMINOACIDOS DE CADEIA RAMIFICADA                                ,,
E712,DISTURBIO NAO ESPECIFICADO DO METABOLISMO DE AMINOACIDOS DE CADEIA RAMIFICADA                       ,,
E713,DISTURBIOS DO METABOLISMO DE ACIDOS GRAXOS                                                          ,,
E72,OUTROS DISTURBIOS DO METABOLISMO DE AMINOACIDOS E SUBTÍTULOS                                        ,,
E720,DISTURBIOS DO TRANSPORTE DE AMINOACIDOS                                                             ,,
E721,DISTURBIOS DO METABOLISMO DOS AMINOACIDOS QUE CONTEM ENXOFRE                                        ,,
E722,DISTURBIOS DO METABOLISMO DO CICLO DA UREIA                                                         ,,
E723,DISTURBIOS DO METABOLISMO DA LISINA E DA HIDROXILISINA                                              ,,
E724,DISTURBIOS DO METABOLISMO DA ORNITINA                                                               ,,
E725,DISTURBIOS DO METABOLISMO DA GLICINA                                                                ,,
E728,OUTROS DISTURBIOS ESPECIFICADOS DO METABOLISMO DOS AMINOACIDOS                                      ,,
E729,DISTURBIO NAO ESPECIFICADO DO METABOLISMO DOS AMINOACIDOS                                           ,,
E73,INTOLERANCIA A LACTOSE E SUBTÍTULOS                                                                 ,,
E730,DEFICIENCIA CONGENITA DE LACTASE                                                                    ,,
E731,DEFICIENCIA SECUNDARIA DE LACTASE                                                                   ,,
E738,OUTRAS INTOLERANCIAS A LACTOSE                                                                      ,,
E739,INTOLERANCIA A LACTOSE, NAO ESPECIFICADA                                                            ,,
E74,OUTROS DISTURBIOS DO METABOLISMO DE CARBOIDRATOS E SUBTÍTULOS                                       ,,
E740,DOENCA DE DEPOSITO DE GLICOGENIO                                                                    ,,
E741,DISTURBIOS DO METABOLISMO DA FRUTOSE                                                                ,,
E742,DISTURBIOS DO METABOLISMO DA GALACTOSE                                                              ,,
E743,OUTROS DISTURBIOS DA ABSORCAO INTESTINAL DE CARBOIDRATOS                                            ,,
E744,DISTURBIOS DO METABOLISMO DO PIRUVATO E DA GLICONEOGENESE                                           ,,
E748,OUTROS DISTURBIOS ESPECIFICADOS DO METABOLISMO DE CARBOIDRATOS                                      ,,
E749,DISTURBIO NAO ESPECIFICADO DO METABOLISMO DE CARBOIDRATOS                                           ,,
E75,DISTURBIOS DO METABOLISMO DE ESFINGOLIPIDES E OUTROS DISTURBIOS DE DEPOSITO DE LIPIDES E SUBTÍTULOS ,,
E750,GANGLIOSIDOSE GM2                                                                                   ,,
E751,OUTRAS GANGLIOSIDOSES                                                                               ,,
E752,OUTRAS ESFINGOLIPIDOSES                                                                             ,,
E753,ESFINGOLIPIDOSE NAO ESPECIFICADA                                                                    ,,
E754,LIPOFUSCINOSE NEURONAL CEROIDE                                                                      ,,
E755,OUTROS DISTURBIOS DO DEPOSITO DE LIPIDES                                                            ,,
E756,DISTURBIO NAO ESPECIFICADO DO DEPOSITO DE LIPIDES                                                   ,,
E76,DISTURBIOS DO METABOLISMO DO GLICOSAMINOGLICANO E SUBTÍTULOS                                        ,,
E760,MUCOPOLISSACARIDOSE DO TIPO I                                                                       ,,
E761,MUCOPOLISSACARIDOSE DO TIPO II                                                                      ,,
E762,OUTRAS MUCOPOLISSACARIDOSES                                                                         ,,
E763,MUCOPOLISSACARIDOSE NAO ESPECIFICADA                                                                ,,
E768,OUTROS DISTURBIOS DO METABOLISMO DO GLICOSAMINOGLICANO                                              ,,
E769,DISTURBIO NAO ESPECIFICADO DO METABOLISMO DO GLICOSAMINOGLICANO                                     ,,
E77,DISTURBIOS DO METABOLISMO DE GLICOPROTEINAS E SUBTÍTULOS                                            ,,
E770,DEFEITOS NA MODIFICACAO POS-TRANSLACIONAL DE ENZIMAS LISOSSOMICAS                                   ,,
E771,DEFEITOS NA DEGRADACAO DAS GLICOPROTEINAS                                                           ,,
E778,OUTROS DISTURBIOS DO METABOLISMO DE GLICOPROTEINAS                                                  ,,
E779,DISTURBIO NAO ESPECIFICADO DO METABOLISMO DE GLICOPROTEINAS                                         ,,
E78,DISTURBIOS DO METABOLISMO DE LIPOPROTEINAS E OUTRAS LIPIDEMIAS E SUBTÍTULOS                         ,,
E780,HIPERCOLESTEROLEMIA PURA                                                                            ,,
A689,FEBRE RECORRENTE NAO ESPECIFICADA                                                                   ,,
A69,OUTRAS INFECCOES POR ESPIROQUETAS E SUBTÍTULOS                                                      ,,
A690,ESTOMATITE ULCERATIVA NECROTIZANTE                                                                  ,,
A691,OUTRAS INFECCOES DE VINCENT                                                                         ,,
A692,DOENCA DE LYME                                                                                      ,,
A698,OUTRAS INFECCOES ESPECIFICADAS POR ESPIROQUETAS                                                     ,,
A699,INFECCAO POR ESPIROQUETA, NAO ESPECIFICADA                                                          ,,
A70,INFECCOES CAUSADAS POR CLAMIDIA PSITTACI E SUBTÍTULOS                                               ,,
A71,TRACOMA E SUBTÍTULOS                                                                                ,,
A710,FASE INICIAL DO TRACOMA                                                                             ,,
A711,FASE ATIVA DO TRACOMA                                                                               ,,
A719,TRACOMA NAO ESPECIFICADO                                                                            ,,
A74,OUTRAS DOENCAS CAUSADAS POR CLAMIDIAS E SUBTÍTULOS                                                  ,,
A740,CONJUNTIVITE CAUSADA POR CLAMIDIAS                                                                  ,,
A748,OUTRAS DOENCAS CAUSADAS POR CLAMIDIAS                                                               ,,
A749,INFECCAO CAUSADA POR CLAMIDIAS NAO ESPECIFICADA                                                     ,,
A75,TIFO EXANTEMATICO E SUBTÍTULOS                                                                      ,,
A750,TIFO EPIDEMICO TRANSMITIDO POR PIOLHOS DEVIDO A RICKETTSIA PROWAZEKII                               ,,
A751,TIFO RECRUDESCENTE [DOENCA DE BRILL]                                                                ,,
A752,TIFO POR RICKETTSIA TYPHI                                                                           ,,
A753,TIFO POR RICKETTSIA TSUTSUGAMUCHI                                                                   ,,
A759,TIFO NAO ESPECIFICADO                                                                               ,,
A77,FEBRE MACULOSA [RICKETTSIOSES TRANSMITIDAS POR CARRAPATOS] E SUBTÍTULOS                             ,,
A770,FEBRE MACULOSA POR RICKETTSIA RICHETTSII                                                            ,,
A771,FEBRE MACULOSA POR RICKETTSIA CONORII                                                               ,,
A772,FEBRE MACULOSA DEVIDA A RICKETTSIA SIBERICA                                                         ,,
A773,FEBRE MACULOSA DEVIDA A RICKETTSIA AUSTRALIS                                                        ,,
A778,OUTRAS FEBRES MACULOSAS                                                                             ,,
A779,FEBRE MACULOSA NAO ESPECIFICADA                                                                     ,,
A78,FEBRE Q E SUBTÍTULOS                                                                                ,,
A79,OUTRAS RICKETTSIOSES E SUBTÍTULOS                                                                   ,,
A790,FEBRE DAS TRINCHEIRAS                                                                               ,,
A791,RICKETTSIOSE VARICELIFORME DEVIDA A RICKETTSIA AKARI                                                ,,
A798,OUTROS TIPOS DE RICKETTSIOSES ESPECIFICADAS                                                         ,,
A799,RICKETTSIOSE NAO ESPECIFICADA                                                                       ,,
A80,POLIOMIELITE AGUDA E SUBTÍTULOS                                                                     ,,
A800,POLIOMIELITE PARALITICA AGUDA, ASSOCIADA AO VIRUS VACINAL                                           ,,
A801,POLIOMIELITE PARALITICA AGUDA, VIRUS SELVAGEM IMPORTADO                                             ,,
A802,POLIOMIELITE PARALITICA AGUDA, VIRUS SELVAGEM INDIGENA                                              ,,
A803,POLIOMIELITES PARALITICAS AGUDAS, OUTRAS E NAO ESPECIFICADAS                                        ,,
A804,POLIOMIELITE AGUDA NAO-PARALITICA                                                                   ,,
A809,POLIOMIELITE AGUDA NAO ESPECIFICADA                                                                 ,,
A81,INFECCOES POR VIRUS ATIPICOS DO SISTEMA NERVOSO CENTRAL E SUBTÍTULOS                                ,,
A810,DOENCA DE CREUTZFELDT-JAKOB                                                                         ,,
A811,PANENCEFALITE ESCLEROSANTE SUBAGUDA                                                                 ,,
A812,LEUCOENCEFALOPATIA MULTIFOCAL PROGRESSIVA                                                           ,,
A818,OUTRAS INFECCOES POR VIRUS ATIPICOS DO SISTEMA NERVOSO CENTRAL                                      ,,
A819,INFECCAO NAO ESPECIFICADA DO SISTEMA NERVOSOS CENTRAL POR VIRUS ATIPICOS                            ,,
A82,RAIVA E SUBTÍTULOS                                                                                  ,,
A820,RAIVA SILVESTRE                                                                                     ,,
A821,RAIVA URBANA                                                                                        ,,
A829,RAIVA NAO ESPECIFICADA                                                                              ,,
A83,ENCEFALITE POR VIRUS TRANSMITIDOS POR MOSQUITOS E SUBTÍTULOS                                        ,,
A830,ENCEFALITE JAPONESA                                                                                 ,,
A831,ENCEFALITE EQUINA OCIDENTAL                                                                         ,,
A832,ENCEFALITE EQUINA ORIENTAL                                                                          ,,
A833,ENCEFALITE DE ST. LOUIS                                                                             ,,
A834,ENCEFALITE AUSTRALIANA                                                                              ,,
A835,ENCEFALITE DA CALIFORNIA                                                                            ,,
A836,DOENCA PELO VIRUS DE ROCIO                                                                          ,,
A838,OUTRAS ENCEFALITES POR VIRUS TRANSMITIDAS POR MOSQUITOS                                             ,,
A839,ENCEFALITE NAO ESPECIFICADA POR VIRUS TRANSMITIDA POR MOSQUITOS                                     ,,
A84,ENCEFALITE POR VIRUS TRANSMITIDO POR CARRAPATOS E SUBTÍTULOS                                        ,,
A840,ENCEFALITE DA TAIGA [ENCEFALITE VERNOESTIVAL RUSSA]                                                 ,,
A841,ENCEFALITE DA EUROPA CENTRAL TRANSMITIDA POR CARRAPATOS                                             ,,
C779,NEOPLASIA MALIGNA SECUNDARIA E NAO ESPECIFICADA DE GANGLIO LINFATICO, NAO ESPECIFICADO              ,,
C78,NEOPLASIA MALIGNA SECUNDARIA DOS ORGAOS RESPIRATORIOS E DIGESTIVOS E SUBTÍTULOS                     ,,
C780,NEOPLASIA MALIGNA SECUNDARIA DOS PULMOES                                                            ,,
C781,NEOPLASIA MALIGNA SECUNDARIA DO MEDIASTINO                                                          ,,
C782,NEOPLASIA MALIGNA SECUNDARIA DA PLEURA                                                              ,,
C783,NEOPLASIA MALIGNA SECUNDARIA DE OUTROS ORGAOS RESPIRATORIOS E NAO ESPECIFICADOS                     ,,
C784,NEOPLASIA MALIGNA SECUNDARIA DO INTESTINO DELGADO                                                   ,,
C785,NEOPLASIA MALIGNA SECUNDARIA DO INTESTINO GROSSO E DO RETO                                          ,,
C786,NEOPLASIA MALIGNA SECUNDARIA DO RETROPERITONIO E DO PERITONIO                                       ,,
C787,NEOPLASIA MALIGNA SECUNDARIA DO FIGADO                                                              ,,
C788,NEOPLASIA MALIGNA SECUNDARIA DE OUTROS ORGAOS DIGESTIVOS E NAO ESPECIFICADOS                        ,,
C79,NEOPLASIA MALIGNA SECUNDARIA DE OUTRAS LOCALIZACOES E SUBTÍTULOS                                    ,,
C790,NEOPLASIA MALIGNA SECUNDARIA DO RIM E DA PELVE RENAL                                                ,,
C791,NEOPLASIA MALIGNA SECUNDARIA DA BEXIGA, DE OUTRO ORGAO URINARIO E NAO ESPECIFICADO                  ,,
C792,NEOPLASIA MALIGNA SECUNDARIA DA PELE                                                                ,,
C793,NEOPLASIA MALIGNA SECUNDARIA DO ENCEFALO E DAS MENINGES CEREBRAIS                                   ,,
C794,NEOPLASIA MALIGNA SECUNDARIA DE OUTRAS PARTES DO SISTEMA NERVOSO E NAO ESPECIFICADAS                ,,
C795,NEOPLASIA MALIGNA SECUNDARIA DOS OSSOS E DA MEDULA OSSEA                                            ,,
C796,NEOPLASIA MALIGNA SECUNDARIA DO OVARIO                                                              ,,
C797,NEOPLASIA MALIGNA SECUNDARIA DAS GLANDULAS SUPRA-RENAIS (ADRENAIS)                                  ,,
C798,NEOPLASIA MALIGNA SECUNDARIA DE OUTRA LOCALIZACAO ESPECIFICADA                                      ,,
C80,NEOPLASIA MALIGNA, SEM ESPECIFICACAO DE LOCALIZACAO E SUBTÍTULOS                                    ,,
C81,DOENCA DE HODGKIN E SUBTÍTULOS                                                                      ,,
C810,DOENCA DE HODGKIN, PREDOMINANCIA LINFOCITICA                                                        ,,
C811,DOENCA DE HODGKIN, ESCLEROSE NODULAR                                                                ,,
C812,DOENCA DE HODGKIN, CELULARIDADE MISTA                                                               ,,
C813,DOENCA DE HODGKIN, DEPLECAO LINFOCITICA                                                             ,,
C817,OUTRA FORMA DA DOENCA DE HODGKIN                                                                    ,,
C819,DOENCA DE HODGKIN, NAO ESPECIFICADA                                                                 ,,
C82,LINFOMA NAO-HODGKIN, FOLICULAR E SUBTÍTULOS                                                         ,,
C820,LINFOMA NAO-HODGKIN, PEQUENAS CELULAS CLIVADAS, FOLICULAR                                           ,,
C821,LINFOMA NAO-HODGKIN, MISTO, DE PEQUENAS E GRANDES CELULAS CLIVADAS, FOLICULAR                       ,,
C822,LINFOMA NAO-HODGKIN, GRANDES CELULAS, FOLICULAR                                                     ,,
C827,OUTROS TIPOS DE LINFOMA NAO-HODGKIN, FOLICULAR                                                      ,,
C829,LINFOMA NAO-HODGKIN, FOLICULAR, NAO ESPECIFICADO                                                    ,,
C83,LINFOMA NAO-HODGKIN, DIFUSO E SUBTÍTULOS                                                            ,,
C830,LINFOMA NAO-HODGKIN DIFUSO, PEQUENAS CELULAS (DIFUSO)                                               ,,
C831,LINFOMA NAO-HODGKIN DIFUSO, PEQUENAS CELULAS CLIVADAS (DIFUSO)                                      ,,
C832,LINFOMA NAO-HODGKIN DIFUSO, MISTO, DE PEQUENAS E GRANDES CELULAS (DIFUSO)                           ,,
C833,LINFOMA NAO-HODGKIN DIFUSO, GRANDES CELULAS (DIFUSO)                                                ,,
C834,LINFOMA NAO-HODGKIN DIFUSO, IMUNOBLASTICO (DIFUSO)                                                  ,,
C835,LINFOMA NAO-HODGKIN DIFUSO, LINFOBLASTICO (DIFUSO)                                                  ,,
C836,LINFOMA NAO-HODGKIN DIFUSO, INDIFERENCIADO (DIFUSO)                                                 ,,
C837,TUMOR DE BURKITT                                                                                    ,,
C838,OUTROS TIPOS DE LINFOMA NAO-HODGKIN DIFUSO                                                          ,,
C839,LINFOMA NAO-HODGKIN DIFUSO, NAO ESPECIFICADO                                                        ,,
C84,LINFOMAS DE CELULAS T CUTANEAS E PERIFERICAS E SUBTÍTULOS                                           ,,
C840,MICOSE FUNGOIDE                                                                                     ,,
C841,DOENCA DE SEZARY                                                                                    ,,
C842,LINFOMA DA ZONA T                                                                                   ,,
C843,LINFOMA LINFOEPITELIOIDE                                                                            ,,
C844,LINFOMA DE CELULAS T, PERIFERICO                                                                    ,,
C845,OUTROS LINFOMAS DE CELULAS T E OS NAO ESPECIFICADOS                                                 ,,
C85,LINFOMA NAO-HODGKIN DE OUTROS TIPOS E DE TIPO NAO ESPECIFICADO E SUBTÍTULOS                         ,,
C850,LINFOSSARCOMA                                                                                       ,,
C851,LINFOMA DE CELULAS B, NAO ESPECIFICADO                                                              ,,
C857,OUTROS TIPOS ESPECIFICADOS DE LINFOMA NAO-HODGKIN                                                   ,,
C859,LINFOMA NAO-HODGKIN DE TIPO NAO ESPECIFICADO                                                        ,,
C88,DOENCAS IMUNOPROLIFERATIVAS MALIGNAS E SUBTÍTULOS                                                   ,,
C880,MACROGLOBULINEMIA DE WALDENSTRÖM                                                                    ,,
C881,DOENCA DE CADEIA PESADA ALFA                                                                        ,,
C882,DOENCA DE CADEIA PESADA GAMA                                                                        ,,
C883,DOENCA IMUNOPROLIFERATIVA DO INTESTINO DELGADO                                                      ,,
C887,OUTRAS DOENCAS IMUNOPROLIFERATIVAS MALIGNAS                                                         ,,
C889,DOENCA IMUNOPROLIFERATIVA MALIGNA, NAO ESPECIFICADA                                                 ,,
H102,OUTRAS CONJUNTIVITES AGUDAS                                                                         ,,
H103,CONJUNTIVITE AGUDA NAO ESPECIFICADA                                                                 ,,
H104,CONJUNTIVITE CRONICA                                                                                ,,
H105,BLEFAROCONJUNTIVITE                                                                                 ,,
H108,OUTRAS CONJUNTIVITES                                                                                ,,
H109,CONJUNTIVITE NAO ESPECIFICADA                                                                       ,,
H11,OUTROS TRANSTORNOS DA CONJUNTIVA E SUBTÍTULOS                                                       ,,
H110,PTERIGIO                                                                                            ,,
H111,DEGENERACOES E DEPOSITOS DA CONJUNTIVA                                                              ,,
H112,CICATRIZES DA CONJUNTIVA                                                                            ,,
H113,HEMORRAGIA CONJUNTIVAL                                                                              ,,
H114,OUTROS TRANSTORNOS VASCULARES E CISTOS CONJUNTIVAIS                                                 ,,
H118,OUTROS TRANSTORNOS ESPECIFICADOS DA CONJUNTIVA                                                      ,,
H119,TRANSTORNO NAO ESPECIFICADO DA CONJUNTIVA                                                           ,,
H13,TRANSTORNOS DA CONJUNTIVA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE E SUBTÍTULOS                      ,,
H130,INFESTACAO POR FILARIAS NA CONJUNTIVA                                                               ,,
H131,CONJUNTIVITE EM DOENCAS INFECCIOSAS E PARASITARIAS CLASSIFICADAS EM OUTRA PARTE                     ,,
H132,CONJUNTIVITE EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE                                         ,,
H133,PENFIGOIDE OCULAR                                                                                   ,,
H138,OUTROS TRANSTORNOS DA CONJUNTIVA EM DOENCA CLASSIFICADAS EM OUTRA PARTE                             ,,
H15,TRANSTORNOS DA ESCLEROTICA E SUBTÍTULOS                                                             ,,
I600,HEMORRAGIA SUBARACNOIDE PROVENIENTE DO SIFAO E DA BIFURCACAO DA CAROTIDA                            ,,
I601,HEMORRAGIA SUBARACNOIDE PROVENIENTE DA ARTERIA CEREBRAL MEDIA                                       ,,
I602,HEMORRAGIA SUBARACNOIDE PROVENIENTE DA ARTERIA COMUNICANTE ANTERIOR                                 ,,
I603,HEMORRAGIA SUBARACNOIDE PROVENIENTE DA ARTERIA COMUNICANTE POSTERIOR                                ,,
I604,HEMORRAGIA SUBARACNOIDE PROVENIENTE DA ARTERIA BASILAR                                              ,,
I605,HEMORRAGIA SUBARACNOIDE PROVENIENTE DA ARTERIA VERTEBRAL                                            ,,
I606,HEMORRAGIA SUBARACNOIDE PROVENIENTE DE OUTRAS ARTERIAS INTRACRANIANAS                               ,,
I607,HEMORRAGIA SUBARACNOIDE PROVENIENTE DE ARTERIA INTRACRANIANA NAO ESPECIFICADA                       ,,
I608,OUTRAS HEMORRAGIAS SUBARACNOIDES                                                                    ,,
I609,HEMORRAGIA SUBARACNOIDE NAO ESPECIFICADA                                                            ,,
I61,HEMORRAGIA INTRACEREBRAL E SUBTÍTULOS                                                               ,,
I610,HEMORRAGIA INTRACEREBRAL HEMISFERICA SUBCORTICAL                                                    ,,
I611,HEMORRAGIA INTRACEREBRAL HEMISFERICA CORTICAL                                                       ,,
I612,HEMORRAGIA INTRACEREBRAL HEMISFERICA NAO ESPECIFICADA                                               ,,
I613,HEMORRAGIA INTRACEREBRAL DO TRONCO CEREBRAL                                                         ,,
I614,HEMORRAGIA INTRACEREBRAL CEREBELAR                                                                  ,,
I615,HEMORRAGIA INTRACEREBRAL INTRAVENTRICULAR                                                           ,,
I616,HEMORRAGIA INTRACEREBRAL DE MULTIPLAS LOCALIZACOES                                                  ,,
I618,OUTRAS HEMORRAGIAS INTRACEREBRAIS                                                                   ,,
I619,HEMORRAGIA INTRACEREBRAL NAO ESPECIFICADA                                                           ,,
I62,OUTRAS HEMORRAGIAS INTRACRANIANAS NAO-TRAUMATICAS E SUBTÍTULOS                                      ,,
I620,HEMORRAGIA SUBDURAL (AGUDA) (NAO-TRAUMATICA)                                                        ,,
I621,HEMORRAGIA EXTRADURAL NAO-TRAUMATICA                                                                ,,
I629,HEMORRAGIA INTRACRANIANA (NAO-TRAUMATICA) NAO ESPECIFICADA                                          ,,
I63,INFARTO CEREBRAL E SUBTÍTULOS                                                                       ,,
I630,INFARTO CEREBRAL DEVIDO A TROMBOSE DE ARTERIAS PRE-CEREBRAIS                                        ,,
I631,INFARTO CEREBRAL DEVIDO A EMBOLIA DE ARTERIAS PRE-CEREBRAIS                                         ,,
I632,INFARTO CEREBRAL DEVIDO A OCLUSAO OU ESTENOSE NAO ESPECIFICADAS DE ARTERIAS PRE-CEREBRAIS           ,,
I633,INFARTO CEREBRAL DEVIDO A TROMBOSE DE ARTERIAS CEREBRAIS                                            ,,
I634,INFARTO CEREBRAL DEVIDO A EMBOLIA DE ARTERIAS CEREBRAIS                                             ,,
I635,INFARTO CEREBRAL DEVIDO A OCLUSAO OU ESTENOSE NAO ESPECIFICADAS DE ARTERIAS CEREBRAIS               ,,
I636,INFARTO CEREBRAL DEVIDO A TROMBOSE VENOSA CEREBRAL NAO-PIOGENICA                                    ,,
I638,OUTROS INFARTOS CEREBRAIS                                                                           ,,
I639,INFARTO CEREBRAL NAO ESPECIFICADO                                                                   ,,
I64,ACIDENTE VASCULAR CEREBRAL, NAO ESPECIFICADO COMO HEMORRAGICO OU ISQUEMICO E SUBTÍTULOS             ,,
I65,OCLUSAO E ESTENOSE DE ARTERIAS PRE-CEREBRAIS QUE NAO RESULTAM EM INFARTO CEREBRAL E SUBTÍTULOS      ,,
I650,OCLUSAO E ESTENOSE DA ARTERIA VERTEBRAL                                                             ,,
I651,OCLUSAO E ESTENOSE DA ARTERIA BASILAR                                                               ,,
I652,OCLUSAO E ESTENOSE DA ARTERIA CAROTIDA                                                              ,,
I653,OCLUSAO E ESTENOSE DE ARTERIAS PRE-CEREBRAIS MULTIPLAS E BILATERAIS                                 ,,
I658,OCLUSAO E ESTENOSE DE OUTRA ARTERIA PRE-CEREBRAL                                                    ,,
I659,OCLUSAO E ESTENOSE DE ARTERIAS PRE-CEREBRAIS NAO ESPECIFICADAS                                      ,,
I66,OCLUSAO E ESTENOSE DE ARTERIAS CEREBRAIS QUE NAO RESULTAM EM INFARTO CEREBRAL E SUBTÍTULOS          ,,
I660,OCLUSAO E ESTENOSE DA ARTERIA CEREBRAL MEDIA                                                        ,,
E781,HIPERGLICERIDEMIA PURA                                                                              ,,
E782,HIPERLIPIDEMIA MISTA                                                                                ,,
E783,HIPERQUILOMICRONEMIA                                                                                ,,
E784,OUTRAS HIPERLIPIDEMIAS                                                                              ,,
E785,HIPERLIPIDEMIA NAO ESPECIFICADA                                                                     ,,
E786,DEFICIENCIAS DE LIPOPROTEINAS                                                                       ,,
E788,OUTROS DISTURBIOS DO METABOLISMO DE LIPOPROTEINAS                                                   ,,
E789,DISTURBIO NAO ESPECIFICADO DO METABOLISMO DE LIPOPROTEINAS                                          ,,
E79,DISTURBIOS DO METABOLISMO DE PURINA E PIRIMIDINA E SUBTÍTULOS                                       ,,
E790,HIPERURICEMIA SEM SINAIS DE ARTRITE INFLAMATORIA E DE DOENCA COM TOFOS                              ,,
E791,SINDROME DE LESCH-NYHAN                                                                             ,,
E798,OUTROS DISTURBIOS DO METABOLISMO DA PURINA E PIRIMIDINA                                             ,,
E799,DISTURBIO NAO ESPECIFICADO DO METABOLISMO DA PURINA E PIRIMIDINA                                    ,,
E80,DISTURBIOS DO METABOLISMO DA PORFIRINA E DA BILIRRUBINA E SUBTÍTULOS                                ,,
E800,PORFIRIA HEREDITARIA ERITROPOETICA                                                                  ,,
E801,PORFIRIA CUTANEA TARDIA                                                                             ,,
E802,OUTRAS PORFIRIAS                                                                                    ,,
E803,DEFEITOS DA CATALASE E DA PEROXIDASE                                                                ,,
E804,SINDROME DE GILBERT                                                                                 ,,
E805,SINDROME DA CRIGLER-NAJJAR                                                                          ,,
E806,OUTROS DISTURBIOS DO METABOLISMO DA BILIRRUBINA                                                     ,,
E807,DISTURBIO NAO ESPECIFICADO DO METABOLISMO DA BILIRRUBINA                                            ,,
E83,DISTURBIOS DO METABOLISMO DE MINERAIS E SUBTÍTULOS                                                  ,,
E830,DISTURBIOS DO METABOLISMO DO COBRE                                                                  ,,
E831,DOENCA DO METABOLISMO DO FERRO                                                                      ,,
E832,DISTURBIOS DO METABOLISMO DO ZINCO                                                                  ,,
E833,DISTURBIOS DO METABOLISMO DO FOSFORO                                                                ,,
E834,DISTURBIOS DO METABOLISMO DO MAGNESIO                                                               ,,
E835,DISTURBIOS DO METABOLISMO DO CALCIO                                                                 ,,
E838,OUTROS DISTURBIOS DO METABOLISMO MINERAL                                                            ,,
E839,DISTURBIO NAO ESPECIFICADO DO METABOLISMO MINERAL                                                   ,,
E84,FIBROSE CISTICA E SUBTÍTULOS                                                                        ,,
E840,FIBROSE CISTICA COM MANIFESTACOES PULMONARES                                                        ,,
E841,FIBROSE CISTICA COM MANIFESTACOES INTESTINAIS                                                       ,,
E848,FIBROSE CISTICA COM OUTRAS MANIFESTACOES                                                            ,,
E849,FIBROSE CISTICA NAO ESPECIFICADA                                                                    ,,
E85,AMILOIDOSE E SUBTÍTULOS                                                                             ,,
E850,AMILOIDOSE HEREDOFAMILIAR NAO-NEUROPATICA                                                           ,,
E851,AMILOIDOSE HEREDOFAMILIAR NEUROPATICA                                                               ,,
E852,AMILOIDOSE HEREDOFAMILIAR NAO ESPECIFICADA                                                          ,,
E853,AMILOIDOSE SISTEMICA SECUNDARIA                                                                     ,,
E854,AMILOIDOSE LIMITADA A ORGAOS                                                                        ,,
E858,OUTRAS AMILOIDOSES                                                                                  ,,
E859,AMILOIDOSE NAO ESPECIFICADA                                                                         ,,
E86,DEPLECAO DE VOLUME E SUBTÍTULOS                                                                     ,,
E87,OUTROS TRANSTORNOS DO EQUILIBRIO HIDROELETROLITICO E ACIDO-BASICO E SUBTÍTULOS                      ,,
